category,name,path,used_on_or_route,purpose,when_to_use,notes
"route","Homepage","src/app/page.tsx","/","Main Kosh marketing story stack","Use for top-level product storytelling and primary conversion flow","Composed from Navbar, HeroSection, HeroSecondSection, FourthSection, FutureSection, BusinessCTASection, FAQsSection, FooterSection"
"route","USD Account","src/app/usd-account/page.tsx","/usd-account","Focused USD account conversion funnel","Use for named USD account, ACH, wire, and freelancer/global business positioning","Rendered through UsdAccountListPreviewClient"
"route","About","src/app/about/page.tsx","/about","Brand or company information route","Use for company/about content with standard Kosh shell","Uses Navbar and FooterSection"
"route","Business","src/app/business/page.tsx","/business","Business-facing marketing route","Use for business-specific product positioning","Uses Navbar and FooterSection"
"route","Payments","src/app/payments/page.tsx","/payments","Payments-related route","Use for payment product storytelling","Uses Navbar"
"route","Rewards","src/app/rewards/page.tsx","/rewards","Rewards product route","Use for rewards-specific product marketing","Uses Navbar and FooterSection"
"route","Global Card","src/app/global-card/page.tsx","/global-card","Card product route","Use for card-specific storytelling","Uses Navbar"
"route","Website System","src/app/website-system/page.tsx","/website-system","Implementation-facing design reference","Use for documenting typography, spacing, colors, materials, motion, button, header, logo, and sections","Internal reference route"
"route","USD Account List Preview","src/app/usd-account-list-preview/page.tsx","/usd-account-list-preview","Preview route for the USD account funnel","Use for iterative USD-account section work before or alongside live route changes","Highly used for visual iteration"
"route","USD Account Motion Preview","src/app/usd-account-motion-preview/page.tsx","/usd-account-motion-preview","Motion preview playground for USD-account related experiments","Use for motion prototyping when isolated review is useful","Experimental/internal"
"layout","Navbar","src/components/layout/Navbar.tsx","homepage, usd-account, about, business, rewards, payments, global-card","Primary public top navigation","Use on any public-facing marketing route that should feel like the main Kosh site","Often paired with create-account modal handlers"
"layout","Header","src/components/layout/Header.tsx","website-system header frame and alternate header usage","Alternate header treatment","Use for header-specific demos or alternate header surfaces","Not the default public top nav"
"layout","Container","src/components/layout/Container.tsx","shared primitive","Horizontal safe-zone wrapper","Use to preserve readable content width and shared page padding","Prefer before inventing new outer wrappers"
"layout","Footer","src/components/layout/Footer.tsx","shared primitive","Structural footer primitive","Use when section-level FooterSection is not the right fit","Separate from the marketing FooterSection"
"ui","Button","src/components/ui/Button.tsx","shared primitive","Primary CTA and action system","Use for primary, secondary, and prominent actions","Respects light/dark context and should be reused instead of one-off buttons"
"ui","Badge","src/components/ui/Badge.tsx","shared primitive","Compact metadata or label surface","Use for pills, small labels, or state tags","Simple supporting UI primitive"
"ui","FeatureCard","src/components/ui/FeatureCard.tsx","shared primitive","Reusable marketing feature card","Use when title and supporting copy need a consistent card shell","Good for modular feature grids"
"ui","FeatureIcons","src/components/ui/FeatureIcons.tsx","shared primitive","Icon set for marketing features","Use when feature sections need consistent iconography","Avoid introducing mismatched icon styles"
"ui","FloatingCta","src/components/ui/FloatingCta.tsx","shared primitive","Floating persistent call to action","Use when a route needs a persistent conversion reminder","Keep usage restrained"
"ui","LogoMarquee","src/components/ui/LogoMarquee.tsx","shared primitive","Partner or brand logo strip","Use for social proof or platform compatibility surfaces","Useful for credibility reinforcement"
"ui","PlatformStoreIcon","src/components/ui/PlatformStoreIcon.tsx","shared primitive","Platform/store icon renderer","Use where app-store or platform store icons are needed","Utility component"
"ui","CookieBanner","src/components/ui/CookieBanner.tsx","shared primitive","Cookie consent surface","Use for consent and compliance","Standard utility"
"ui","PhoneFrame","src/components/ui/PhoneFrame.tsx","shared primitive","Framed mobile UI shell","Use when showcasing app screens inside a device frame","Supports mobile-product storytelling"
"ui","AnimatedElement","src/components/ui/AnimatedElement.tsx","shared primitive","Reusable reveal or entrance wrapper","Use for lightweight entrance motion or reveal choreography","Prefer bounded motion"
"ui","FloatingQRCode","src/components/ui/FloatingQRCode.tsx","homepage and shared utility","Floating QR acquisition element","Use for app-download or quick-entry affordance","Already used on homepage"
"ui","GlassCard","src/components/ui/GlassCard.tsx","shared primitive","Premium translucent surface","Use for glass-style cards and elevated overlays","Matches Kosh material language"
"ui","TrustBadge","src/components/ui/TrustBadge.tsx","shared primitive","Compact trust/value item","Use for credibility, support, monitoring, or assurance points","Good for trust grids and supporting rows"
"section","HeroSection","src/components/sections/HeroSection.tsx","homepage","Main homepage hero","Use for top-of-funnel messaging and primary Kosh value proposition","Dark, high-contrast, conversion-led opening section"
"section","HeroSecondSection","src/components/sections/HeroSecondSection.tsx","homepage","Second-act homepage narrative section","Use when the story needs a deeper visual continuation after the hero","Best for immersive storytelling pages"
"section","FourthSection","src/components/sections/FourthSection.tsx","homepage","Large multi-panel showcase section","Use for major product capability storytelling with strong layout shifts","Part of the homepage narrative stack"
"section","FutureSection","src/components/sections/FutureSection.tsx","homepage","Forward-looking feature breadth section","Use for roadmap-like or breadth-of-product positioning","Can inspire richer adjacent capability surfaces"
"section","BusinessCTASection","src/components/sections/BusinessCTASection.tsx","homepage and other conversion routes","Major conversion and reveal section","Use near the end of longer pages to convert after storytelling","Already integrated into the homepage narrative flow"
"section","FAQsSection","src/components/sections/FAQsSection.tsx","homepage, usd-account","Shared FAQ section","Use whenever trust-building Q&A is needed near the bottom of a route","Usually paired with faq data and JSON-LD"
"section","FooterSection","src/components/sections/FooterSection.tsx","homepage, usd-account, about, business, rewards","Large marketing footer section","Use as the default footer block on public Kosh routes","Includes product offerings and navigation"
"section","UsdHeroSection","src/components/sections/UsdHeroSection.tsx","usd-account","USD-account-specific hero","Use at the top of the USD account funnel","Supports geo-based from label and main conversion framing"
"section","UsdValueStrip","src/components/sections/UsdValueStrip.tsx","usd-account","Compact value statement strip","Use directly after USD hero to reinforce benefit summary","Best as a narrow support band"
"section","KeyFeatures","src/components/sections/KeyFeatures.tsx","usd-account","Richer multi-card feature section","Use when each feature needs a larger visual panel or animated treatment","Frequently updated in recent USD-account work"
"section","PowerfulFeatures","src/components/sections/PowerfulFeatures.tsx","usd-account","Feature list with active visual state","Use for accordion-like feature explanation with large image swap area","Frequently updated with exact image replacements"
"section","Testimonial","src/components/sections/Testimonial.tsx","usd-account and reusable social proof contexts","Quote or case-study validation section","Use where social proof needs to reinforce conversion","Good before onboarding or CTA sections"
"section","StepsToGetUsdAccount","src/components/sections/StepsToGetUsdAccount.tsx","usd-account","Step-by-step onboarding explainer","Use to show the account opening process clearly","Strong for procedural clarity"
"section","UsdAccountList","src/components/sections/UsdAccountList.tsx","usd-account","Medallion-led multi-account expansion section","Use to show that Kosh goes beyond a single USD account","Recent work added tilt hover treatment without glow"
"section","MoreThanUsdAccountSection","src/components/sections/MoreThanUsdAccountSection.tsx","usd-account","Broader capability section after the core USD story","Use to widen the product promise beyond named USD account details","Best after foundational funnel sections"
"section","UsdCtaSection","src/components/sections/UsdCtaSection.tsx","usd-account","USD-specific call to action block","Use for final USD funnel conversion push","Keep scoped to USD/account routes unless intentionally generalized"
"section","OfferingsSection","src/components/sections/OfferingsSection.tsx","reusable capability route","High-level product offerings overview","Use for wallet, virtual accounts, card, and rewards breadth","Useful when introducing the Kosh product family"
